구분,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,소계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
종로구,"11,908","5,289","6,619","10,979","4,913","6,066","1,479",853,626,600,205,395,"3,584","1,187","2,397","1,740",716,"1,024","3,576","1,952","1,624",536,171,365,393,205,188
중구,"11,382","5,219","6,163","10,265","4,804","5,461","1,781",985,796,638,208,430,"1,909",667,"1,242","2,321",983,"1,338","3,616","1,961","1,655",640,185,455,477,230,247
용산구,"17,629","9,379","8,250","16,005","8,712","7,293","2,051","1,268",783,"1,305",638,667,897,319,578,"2,662","1,142","1,520","9,090","5,345","3,745",770,244,526,854,423,431
성동구,"12,604","5,836","6,768","10,436","5,042","5,394","1,901","1,196",705,"1,109",378,731,"2,265",928,"1,337","2,334","1,048","1,286","2,827","1,492","1,335","1,170",297,873,998,497,501
광진구,"21,216","9,341","11,875","18,399","8,323","10,076","3,616","1,981","1,635","1,311",320,991,"3,946","1,455","2,491","4,576","2,005","2,571","4,950","2,562","2,388","1,733",477,"1,256","1,084",541,543
동대문구,"20,374","8,355","12,019","17,942","7,483","10,459","1,679",945,734,"1,207",297,910,"7,738","2,572","5,166","2,370","1,048","1,322","4,948","2,621","2,327","1,403",355,"1,048","1,029",517,512
중랑구,"8,475","3,348","5,127","6,013","2,475","3,538",881,483,398,"1,181",201,980,501,199,302,"1,330",566,764,"2,120","1,026","1,094","1,222",246,976,"1,240",627,613
성북구,"15,338","6,481","8,857","13,191","5,694","7,497",895,541,354,"1,088",251,837,"6,051","2,317","3,734","1,346",577,769,"3,811","2,008","1,803",971,203,768,"1,176",584,592
강북구,"6,487","2,443","4,044","4,443","1,719","2,724",618,345,273,886,148,738,511,182,329,"1,047",401,646,"1,381",643,738,964,188,776,"1,080",536,544
도봉구,"4,145","1,594","2,551","2,629","1,059","1,570",392,257,135,674,132,542,252,62,190,567,250,317,744,358,386,670,111,559,846,424,422
노원구,"6,539","2,790","3,749","4,731","2,092","2,639",444,264,180,937,222,715,"1,257",586,671,651,261,390,"1,442",759,683,737,133,604,"1,071",565,506
은평구,"8,413","3,468","4,945","5,592","2,425","3,167",758,474,284,"1,194",259,935,218,100,118,"1,343",583,760,"2,079","1,009","1,070","1,330",294,"1,036","1,491",749,742
서대문구,"14,763","5,420","9,343","13,152","4,812","8,340","1,070",539,531,849,282,567,"5,153","1,204","3,949","1,383",571,812,"4,697","2,216","2,481",795,238,557,816,370,446
마포구,"13,842","5,756","8,086","11,960","5,015","6,945","1,714",913,801,"1,136",382,754,"2,552",605,"1,947","2,050",856,"1,194","4,508","2,259","2,249",872,241,631,"1,010",500,510
양천구,"8,152","3,507","4,645","5,468","2,468","3,000",996,605,391,"1,072",258,814,47,16,31,"1,751",754,997,"1,602",835,767,"1,409",372,"1,037","1,275",667,608
강서구,"12,532","5,538","6,994","8,682","4,114","4,568","1,699","1,174",525,"1,590",382,"1,208",151,70,81,"2,651","1,157","1,494","2,591","1,331","1,260","2,074",540,"1,534","1,776",884,892
구로구,"49,996","25,967","24,029","41,907","22,656","19,251","11,995","7,975","4,020","3,046","1,110","1,936",429,202,227,"14,080","6,617","7,463","12,357","6,752","5,605","6,050","2,310","3,740","2,039","1,001","1,038"
금천구,"30,317","15,592","14,725","25,443","13,673","11,770","7,647","5,085","2,562","1,913",669,"1,244",131,53,78,"8,824","4,103","4,721","6,928","3,763","3,165","3,634","1,317","2,317","1,240",602,638
영등포구,"54,145","27,837","26,308","46,708","24,709","21,999","13,644","8,659","4,985","2,938","1,109","1,829",339,108,231,"16,455","7,557","8,898","13,332","7,276","6,056","5,908","2,336","3,572","1,529",792,737
동작구,"18,592","8,444","10,148","16,009","7,454","8,555","3,004","1,779","1,225","1,144",333,811,"3,360","1,241","2,119","4,360","1,898","2,462","4,141","2,203","1,938","1,659",512,"1,147",924,478,446
관악구,"29,335","13,307","16,028","24,475","11,466","13,009","5,368","3,141","2,227","1,991",616,"1,375","2,115",788,"1,327","8,029","3,416","4,613","6,972","3,505","3,467","3,346","1,071","2,275","1,514",770,744
서초구,"7,985","3,794","4,191","6,538","3,168","3,370","1,003",652,351,897,383,514,311,132,179,"2,300",950,"1,350","2,027","1,051",976,541,150,391,906,476,430
강남구,"9,345","4,406","4,939","7,655","3,706","3,949","1,653",985,668,"1,032",383,649,243,61,182,"2,907","1,286","1,621","1,820",991,829,665,158,507,"1,025",542,483
송파구,"12,233","5,535","6,698","9,418","4,476","4,942","2,335","1,369",966,"1,371",397,974,106,53,53,"3,122","1,357","1,765","2,484","1,300","1,184","1,419",346,"1,073","1,396",713,683
강동구,"8,196","3,604","4,592","5,887","2,791","3,096","1,454",897,557,952,205,747,84,35,49,"1,861",872,989,"1,536",782,754,"1,174",227,947,"1,135",586,549
